year,month,mean_temp
1990,7,15.695913979282944
1997,11,8.926223692789177
1998,2,8.142843619286328
2012,10,8.996964454999373
2005,5,10.409611976792833
2007,6,14.030687285274379
1995,12,4.7146321072383355
1998,7,14.057345019250118
2010,7,14.932314939983856
2010,12,1.167878547923511
1994,3,7.782407918893882
2015,2,4.851037084377326
2019,10,9.639241938227286
1990,4,8.002305561119897
1990,6,12.68506945517328
1996,11,6.6670034124662605
2001,1,4.315008511062359
2017,3,8.117075272612274
2008,8,14.790260801366049
1992,12,5.499820788563402
1998,1,5.975134404623773
2017,8,14.2650698932781
2002,3,7.6423193318027405
2014,4,9.85769266076179
2009,11,7.788707532936061
2004,6,14.05528899743496
2020,6,12.696000061035157
2005,10,11.837754344527454
2019,5,10.925709679677922
2017,10,11.671048387916338
2018,10,9.979403231106298
1994,12,7.6009966325535565
2000,4,7.069716657540256
2015,12,8.5438194678147
2016,7,14.881118277503598
2016,11,6.125372224515511
2003,2,5.721979660205903
2004,8,15.406172726258893
2012,8,15.320985786299552
2013,2,5.070103503792502
2019,3,7.438268820210009
2012,4,7.172756932419193
2012,12,6.037168755466819
1994,8,13.598778891114778
1999,12,5.645814915514918
2006,12,7.2374013428493935
2002,12,6.495212470239449
1992,7,15.05020908336628
2001,9,13.295721972926279
2007,1,7.239855552661361
2020,3,6.480854842147279
2006,7,16.63534511247281
2007,10,11.986960866073613
1996,10,11.262157872377486
2003,10,9.637927531907007
2004,10,9.336869965838726
1991,5,11.341845874833734
1999,2,6.681676034541202
2000,7,14.992591678875439
2001,6,12.819647768235798
1997,9,13.582466714728687
2002,8,14.975813326505046
2005,6,14.152033312068504
2003,3,7.738208924131866
1993,7,12.676142481001474
1994,9,11.84251231484943
1999,7,15.686613552071675
2018,1,5.821177420352976
1997,3,8.189239425620661
1997,10,11.25970251469251
2018,3,4.775806455149125
1998,9,13.773201839018366
1991,11,7.4497067886416195
1999,4,9.055115744075739
2014,10,11.250121250596017
1991,7,15.45731780819568
2016,5,11.84003763775231
1995,11,8.589688499755123
2002,11,8.831265198381836
2014,12,6.174127478597946
2009,3,7.281311977829785
2000,3,7.742835522025635
1990,11,7.506958340400209
1996,2,3.918749999634964
1999,6,12.35459612342709
2018,8,14.873537641513732
2006,6,14.414829463531033
1996,9,12.431014020479994
2002,5,10.773979817671625
2013,9,13.506750000549687
2008,1,6.997795236897759
1994,10,10.479706308986712
2000,11,6.784034620078614
2013,10,11.933340622985796
2014,5,11.320623834389512
2019,8,15.227639785992203
2008,6,13.123817578896329
2009,1,4.858996522557987
2003,9,13.300666348948607
2003,12,6.686211726024803
2007,9,13.356895176396122
1993,3,6.382043013010695
2003,1,5.680805027672014
2016,2,5.153976858899254
2005,11,7.503488117955502
2008,12,5.409669121057239
2008,10,9.494683643626082
1993,4,8.321083335958214
1994,7,14.266265449793108
2019,6,12.781688741034932
2017,7,14.727849462134865
2004,7,13.883241402007496
2013,12,7.209511035649126
2014,1,5.830198926421343
1990,1,7.098400537702705
2008,9,12.460491898076402
2010,11,5.769325609378589
2011,3,6.711049506918103
2013,3,3.933269348887987
2014,8,13.936997240647193
2019,1,6.400607530056869
2006,10,12.248658624306225
2004,4,8.776656922992226
2007,8,14.535112161192453
2013,6,13.395255925244756
1999,11,8.274059503421917
2010,6,14.635216475098838
1990,8,15.760994628360194
2012,7,13.857307866004206
2012,9,12.449928144988501
1998,3,8.320992184907585
2015,4,8.485117218005575
2015,8,13.791747313981416
2010,5,10.722793783592936
1995,8,16.727367278709206
2019,2,7.909059528895166
2005,1,7.47059135684761
2002,6,12.306540873073322
2016,9,13.984094448228678
2003,11,8.581425828762582
