county,station,year,month,day,max_day_temp,min_day_temp,max_day_dewpt,min_day_dewpt,max_day_vappr,min_day_vappr,max_day_msl,min_day_msl
Kerry,VALENTIA OBSERVATORY,2015,1,26,9.2,6.0,7.6,2.0,10.4,7.1,1033.6,1025.1
Roscommon,MT DILLON,2015,1,26,7.9,3.8,5.8,1.7,9.2,6.9,1030.3,1021.2
Wexford,JOHNSTOWNII,2015,1,26,9.2,4.3,8.9,2.0,11.4,7.1,1032.0,1022.4
Carlow,OAK PARK,2015,1,26,9.8,3.8,8.6,2.0,11.2,7.0,1031.5,1021.8
Cork,ROCHES POINT,2015,1,26,10.1,5.9,9.4,2.0,11.8,7.0,1033.4,1023.7
Westmeath,MULLINGAR,2015,1,26,7.9,3.0,7.0,1.4,10.0,6.8,1030.8,1021.0
Donegal,MALIN HEAD,2015,1,26,7.4,5.5,5.4,1.9,9.0,7.0,1026.8,1018.2
Meath,DUNSANY,2015,1,26,7.8,2.8,7.2,1.6,10.1,6.9,1030.4,1021.0
Cork,CORK AIRPORT,2015,1,26,9.2,4.1,9.2,2.0,11.6,7.0,1033.5,1024.1
Cavan,BALLYHAISE,2015,1,26,7.5,4.1,7.1,2.5,10.1,7.3,1029.2,1020.0
Mayo,CLAREMORRIS,2015,1,26,7.9,4.0,4.6,2.1,8.5,7.1,1030.8,1021.9
Clare,SHANNON AIRPORT,2015,1,26,8.7,5.1,6.7,1.6,9.8,6.9,1032.4,1023.6
Galway,MACE HEAD,2015,1,26,8.5,6.6,5.4,2.3,9.0,7.2,1031.1,1022.9
Sligo,MARKREE,2015,1,26,7.7,4.9,4.2,1.7,8.3,6.9,1029.9,1021.2
Dublin,DUBLIN AIRPORT,2015,1,26,8.3,3.7,7.6,2.0,10.5,7.1,1030.4,1020.8
Donegal,FINNER,2015,1,26,7.3,5.4,5.5,2.2,9.0,7.2,1028.9,1020.4
Mayo,KNOCK AIRPORT,2015,1,26,6.3,3.5,4.5,1.1,8.4,6.6,1030.6,1022.1
Mayo,BELMULLET,2015,1,26,8.4,5.9,5.0,1.9,8.7,7.0,1030.2,1021.9
Galway,ATHENRY,2015,1,26,8.3,3.9,6.2,2.2,9.5,7.2,1031.2,1022.4
Dublin,CASEMENT,2015,1,26,9.2,3.7,8.2,2.0,10.8,7.1,1030.5,1020.5
Cork,SherkinIsland,2015,1,26,9.5,7.5,9.0,2.9,11.5,7.5,1033.6,1024.7
Dublin,PHOENIX PARK,2015,1,26,9.4,3.5,8.5,1.5,11.1,6.8,1030.6,1020.9
Cork,MOORE PARK,2015,1,26,8.9,4.4,7.7,1.8,10.5,7.0,1032.7,1023.6
Mayo,NEWPORT,2015,1,26,8.5,5.7,5.3,1.7,8.9,6.9,1030.3,1022.3
Tipperary,GURTEEN,2015,1,26,8.0,3.2,7.3,1.7,10.2,6.9,1031.5,1022.1
Cavan,BALLYHAISE,2015,1,27,8.1,4.9,7.4,3.9,10.3,8.1,1029.4,1010.3
Carlow,OAK PARK,2015,1,27,7.6,4.4,7.0,3.3,10.0,7.8,1031.6,1014.6
Dublin,PHOENIX PARK,2015,1,27,8.3,4.8,6.1,2.8,9.4,7.5,1030.5,1012.5
Clare,SHANNON AIRPORT,2015,1,27,8.8,5.5,7.9,4.3,10.7,8.2,1032.5,1015.5
Cork,MOORE PARK,2015,1,27,9.8,3.4,8.2,3.1,10.8,7.6,1033.2,1016.3
Dublin,DUBLIN AIRPORT,2015,1,27,8.0,4.6,6.6,3.3,9.8,7.7,1030.4,1012.4
Meath,DUNSANY,2015,1,27,7.6,4.3,6.7,3.3,9.8,7.7,1030.3,1012.4
Galway,ATHENRY,2015,1,27,8.7,5.6,8.5,4.2,11.1,8.2,1031.3,1012.8
Cork,ROCHES POINT,2015,1,27,9.9,4.4,8.8,2.6,11.3,7.4,1033.4,1017.2
Donegal,FINNER,2015,1,27,9.0,6.0,7.8,4.6,10.6,8.5,1029.0,1008.6
Cork,CORK AIRPORT,2015,1,27,8.9,3.8,8.9,2.8,11.4,7.5,1033.8,1017.1
Kerry,VALENTIA OBSERVATORY,2015,1,27,10.2,7.0,9.5,4.7,11.9,8.6,1034.0,1017.0
Mayo,NEWPORT,2015,1,27,8.9,6.4,8.6,4.7,11.2,8.6,1030.5,1010.4
Sligo,MARKREE,2015,1,27,8.9,5.8,7.5,4.2,10.4,8.3,1030.2,1010.1
Mayo,KNOCK AIRPORT,2015,1,27,7.6,4.5,7.5,4.2,10.4,8.3,1030.7,1010.8
Tipperary,GURTEEN,2015,1,27,8.3,4.5,7.3,3.9,10.2,8.1,1031.7,1014.0
Mayo,BELMULLET,2015,1,27,9.5,7.5,8.7,4.4,11.2,8.3,1030.0,1008.5
Mayo,CLAREMORRIS,2015,1,27,8.6,5.2,8.1,3.9,10.8,8.1,1030.6,1010.9
Dublin,CASEMENT,2015,1,27,7.7,4.7,6.6,3.4,9.8,7.8,1030.6,1012.4
Cork,SherkinIsland,2015,1,27,9.9,6.8,9.6,4.6,12.0,8.5,1033.9,1018.2
Westmeath,MULLINGAR,2015,1,27,7.8,4.8,7.0,3.4,10.0,7.8,1030.6,1012.1
Roscommon,MT DILLON,2015,1,27,8.4,5.1,7.5,3.8,10.4,8.0,1030.3,1011.6
Donegal,MALIN HEAD,2015,1,27,8.5,6.9,7.2,5.2,10.2,8.9,1026.5,1005.4
Galway,MACE HEAD,2015,1,27,9.2,7.3,8.6,4.5,11.1,8.4,1031.1,1011.9
Wexford,JOHNSTOWNII,2015,1,27,8.6,4.5,8.4,3.3,11.0,7.8,1032.0,1015.6
Carlow,OAK PARK,2015,1,28,10.1,1.7,7.9,-1.5,10.7,5.5,1013.6,998.8
Cork,SherkinIsland,2015,1,28,10.2,4.2,9.9,-0.4,12.2,5.9,1016.9,1003.6
Dublin,PHOENIX PARK,2015,1,28,9.1,1.8,7.7,-2.4,10.5,5.1,1011.4,996.5
Westmeath,MULLINGAR,2015,1,28,9.0,1.0,8.0,-1.2,10.7,5.6,1010.7,996.5
Tipperary,GURTEEN,2015,1,28,9.4,1.7,8.5,-1.2,11.1,5.6,1012.0,998.5
Dublin,CASEMENT,2015,1,28,8.9,1.0,8.1,-0.8,10.8,5.8,1011.4,996.9
Cavan,BALLYHAISE,2015,1,28,9.3,0.7,8.3,-0.9,11.0,5.7,1008.5,994.1
Kerry,VALENTIA OBSERVATORY,2015,1,28,10.5,4.6,9.9,-2.5,12.2,5.1,1016.0,1004.2
Cork,ROCHES POINT,2015,1,28,10.6,3.1,9.4,-1.2,11.8,5.6,1015.9,1002.8
Cork,MOORE PARK,2015,1,28,10.8,2.3,8.9,-0.6,11.4,5.8,1015.2,1002.1
Wexford,JOHNSTOWNII,2015,1,28,9.1,1.9,8.8,-1.3,11.4,5.5,1014.0,999.9
Meath,DUNSANY,2015,1,28,9.0,1.0,7.8,-1.3,10.6,5.6,1011.1,996.2
Mayo,BELMULLET,2015,1,28,9.6,3.0,8.6,-2.1,11.2,5.2,1007.4,995.4
Galway,MACE HEAD,2015,1,28,9.4,3.8,8.7,-2.0,11.3,5.3,1010.3,997.8
Sligo,MARKREE,2015,1,28,9.4,1.8,8.0,-3.9,10.7,4.6,1007.6,994.7
Mayo,KNOCK AIRPORT,2015,1,28,8.0,0.5,7.5,-2.9,10.4,4.9,1009.1,996.5
Cork,CORK AIRPORT,2015,1,28,9.9,0.7,9.7,-1.7,12.0,5.4,1015.6,1003.1
Mayo,CLAREMORRIS,2015,1,28,9.2,0.9,8.5,-1.0,11.1,5.7,1009.3,996.7
Galway,ATHENRY,2015,1,28,9.5,1.7,9.0,-0.7,11.5,5.8,1011.0,998.0
Clare,SHANNON AIRPORT,2015,1,28,10.0,3.0,9.2,-1.9,11.6,5.3,1013.2,1000.1
Mayo,NEWPORT,2015,1,28,9.0,2.8,8.9,-2.2,11.4,5.2,1008.8,996.0
Donegal,MALIN HEAD,2015,1,28,9.1,1.6,7.7,-0.5,10.5,5.9,1003.2,988.3
Roscommon,MT DILLON,2015,1,28,9.7,1.4,8.4,-0.9,11.0,5.7,1009.5,995.9
Dublin,DUBLIN AIRPORT,2015,1,28,8.9,1.5,8.1,-1.1,10.8,5.7,1011.2,996.2
Donegal,FINNER,2015,1,28,9.8,2.0,7.9,-1.9,10.6,5.3,1005.9,992.5
Mayo,BELMULLET,2015,1,29,6.6,1.6,2.9,-1.5,7.5,5.5,994.5,983.3
Mayo,CLAREMORRIS,2015,1,29,5.0,0.3,2.3,-0.8,7.2,5.7,995.6,982.4
Clare,SHANNON AIRPORT,2015,1,29,6.7,3.5,1.7,-2.6,6.9,5.0,999.2,985.9
Kerry,VALENTIA OBSERVATORY,2015,1,29,6.9,3.4,3.5,-1.8,7.9,5.3,1002.9,991.1
Roscommon,MT DILLON,2015,1,29,4.6,0.3,1.6,-0.9,6.9,5.7,995.4,979.4
Mayo,NEWPORT,2015,1,29,6.2,1.8,3.6,-1.5,7.9,5.5,994.9,982.4
Galway,ATHENRY,2015,1,29,5.0,0.5,2.6,-0.9,7.3,5.7,997.0,983.8
Dublin,CASEMENT,2015,1,29,2.1,0.2,0.6,-0.6,6.3,5.8,995.9,977.0
Cork,SherkinIsland,2015,1,29,7.1,3.7,3.8,-1.2,8.0,5.6,1002.5,989.8
Cork,MOORE PARK,2015,1,29,4.8,1.6,2.1,-1.2,7.1,5.6,1001.0,986.3
Donegal,MALIN HEAD,2015,1,29,5.9,1.5,4.0,-2.1,8.1,5.2,987.5,968.0
Tipperary,GURTEEN,2015,1,29,4.0,0.3,0.8,-0.6,6.5,5.8,997.9,983.1
Meath,DUNSANY,2015,1,29,2.7,0.1,1.4,-0.7,6.8,5.8,995.1,976.6
Wexford,JOHNSTOWNII,2015,1,29,4.4,1.6,1.2,-1.6,6.7,5.4,999.2,981.8
Cavan,BALLYHAISE,2015,1,29,3.3,0.0,1.8,-0.1,6.9,6.0,993.1,975.3
Cork,ROCHES POINT,2015,1,29,5.6,2.0,2.1,-1.6,7.1,5.4,1001.6,987.2
Dublin,PHOENIX PARK,2015,1,29,3.0,0.4,0.9,-1.1,6.5,5.6,995.6,976.2
Carlow,OAK PARK,2015,1,29,4.2,1.6,0.8,-0.9,6.5,5.7,997.8,980.7
Sligo,MARKREE,2015,1,29,6.6,0.9,2.1,-2.5,7.1,5.1,993.7,978.8
Mayo,KNOCK AIRPORT,2015,1,29,3.8,-1.0,1.0,-1.8,6.6,5.3,995.5,981.5
Galway,MACE HEAD,2015,1,29,7.4,3.4,2.5,-1.6,7.3,5.4,996.8,984.0
Westmeath,MULLINGAR,2015,1,29,3.6,0.2,1.3,-0.8,6.7,5.8,995.8,979.0
Cork,CORK AIRPORT,2015,1,29,3.9,0.7,1.9,-0.7,7.0,5.8,1001.9,988.1
Donegal,FINNER,2015,1,29,6.3,0.8,2.4,-2.1,7.3,5.2,991.7,975.4
Dublin,DUBLIN AIRPORT,2015,1,29,2.8,0.3,1.5,-0.6,6.8,5.9,995.1,975.4
Dublin,CASEMENT,2015,1,30,5.8,0.8,2.6,-1.3,7.4,5.6,985.6,977.8
Cavan,BALLYHAISE,2015,1,30,5.3,1.5,2.2,-1.3,7.2,5.6,985.5,979.3
Cork,ROCHES POINT,2015,1,30,7.1,3.2,2.3,-0.0,7.2,6.1,989.9,986.9
Meath,DUNSANY,2015,1,30,4.9,1.0,2.3,-1.2,7.2,5.6,985.2,977.8
Mayo,BELMULLET,2015,1,30,6.5,3.8,3.1,-0.6,7.6,5.8,991.6,986.2
Mayo,CLAREMORRIS,2015,1,30,5.1,1.4,3.2,0.1,7.7,6.1,990.1,984.4
Kerry,VALENTIA OBSERVATORY,2015,1,30,7.7,3.8,2.4,-0.6,7.2,5.8,993.3,989.6
Sligo,MARKREE,2015,1,30,6.5,1.8,2.8,-0.9,7.5,5.7,988.2,982.3
Westmeath,MULLINGAR,2015,1,30,5.6,0.8,2.3,-1.1,7.2,5.6,986.3,980.6
Galway,MACE HEAD,2015,1,30,7.0,3.6,3.1,-0.7,7.7,5.8,990.6,986.0
Donegal,MALIN HEAD,2015,1,30,6.9,3.5,4.2,-0.8,8.3,5.8,984.7,979.4
Roscommon,MT DILLON,2015,1,30,4.9,1.7,2.9,-0.1,7.5,6.1,987.3,981.4
Mayo,KNOCK AIRPORT,2015,1,30,4.5,0.5,3.1,-0.9,7.6,5.7,989.5,983.2
Wexford,JOHNSTOWNII,2015,1,30,6.5,1.6,3.0,-1.1,7.6,5.6,986.5,981.5
Galway,ATHENRY,2015,1,30,6.0,1.0,3.0,-0.1,7.6,6.0,990.2,985.1
Dublin,PHOENIX PARK,2015,1,30,5.9,1.5,2.2,-2.2,7.1,5.2,985.3,977.2
Cork,MOORE PARK,2015,1,30,6.7,1.2,3.0,-1.0,7.6,5.7,989.7,986.4
Dublin,DUBLIN AIRPORT,2015,1,30,5.8,1.2,2.6,-1.0,7.4,5.6,985.1,976.0
Cork,CORK AIRPORT,2015,1,30,5.8,1.5,2.3,0.1,7.2,6.1,990.5,987.6
Cork,SherkinIsland,2015,1,30,8.3,4.0,3.0,0.3,7.6,6.2,992.0,988.7
Clare,SHANNON AIRPORT,2015,1,30,6.9,1.7,2.9,-1.0,7.6,5.7,990.8,986.6
Carlow,OAK PARK,2015,1,30,6.0,2.0,2.3,-1.2,7.2,5.6,986.8,980.4
Mayo,NEWPORT,2015,1,30,6.0,3.5,3.4,0.1,7.8,6.1,990.8,984.6
Tipperary,GURTEEN,2015,1,30,5.8,0.5,2.5,-0.9,7.3,5.7,988.9,983.4
Donegal,FINNER,2015,1,30,6.3,2.9,2.9,-0.6,7.5,5.9,987.1,981.6
Dublin,PHOENIX PARK,2015,1,31,5.2,0.5,-0.5,-3.4,5.9,4.8,1005.9,985.7
Cork,MOORE PARK,2015,1,31,5.6,1.5,0.4,-0.8,6.3,5.8,1010.2,990.9
Roscommon,MT DILLON,2015,1,31,9.967762,1.6,7.2295866,-1.5,10.578773,5.5,1013.2551,988.1
Mayo,KNOCK AIRPORT,2015,1,31,3.2,0.1,0.1,-1.8,6.2,5.3,1009.7,990.6
Cork,CORK AIRPORT,2015,1,31,5.1,1.4,0.0,-1.6,6.1,5.5,1010.1,991.0
Wexford,JOHNSTOWNII,2015,1,31,5.2,1.0,-0.5,-2.7,5.9,5.0,1006.3,986.6
Dublin,DUBLIN AIRPORT,2015,1,31,4.5,0.5,0.3,-2.3,6.2,5.1,1005.3,985.2
Mayo,BELMULLET,2015,1,31,6.4,2.9,0.5,-2.8,6.3,5.0,1010.9,992.7
Mayo,CLAREMORRIS,2015,1,31,4.3,0.8,0.6,-1.6,6.4,5.4,1010.2,990.7
Cork,ROCHES POINT,2015,1,31,6.1,2.9,0.2,-1.8,6.2,5.3,1009.6,990.4
Kerry,VALENTIA OBSERVATORY,2015,1,31,6.3,2.8,1.4,-1.6,6.8,5.4,1012.5,994.3
Donegal,MALIN HEAD,2015,1,31,5.7,4.0,2.5,-3.3,7.3,4.8,1005.8,985.6
Tipperary,GURTEEN,2015,1,31,4.7,0.0,0.2,-1.2,6.2,5.6,1009.0,989.5
Dublin,CASEMENT,2015,1,31,4.4,-0.5,0.0,-2.4,6.2,5.1,1005.9,986.0
Cavan,BALLYHAISE,2015,1,31,3.3,0.5,0.8,-2.0,6.5,5.3,1006.8,986.5
Cork,SherkinIsland,2015,1,31,7.2,3.2,1.6,-1.7,6.9,5.4,1011.9,993.1
Westmeath,MULLINGAR,2015,1,31,4.0,-0.0,-0.3,-2.2,6.0,5.2,1007.3,987.5
Mayo,NEWPORT,2015,1,31,5.7,2.7,1.4,-1.1,6.8,5.6,1010.4,991.5
Meath,DUNSANY,2015,1,31,4.4,0.3,-0.0,-2.6,6.1,5.0,1005.9,986.0
Galway,ATHENRY,2015,1,31,4.7,0.8,1.2,-0.6,6.6,5.9,1010.0,990.6
Carlow,OAK PARK,2015,1,31,4.8,1.6,-0.3,-2.0,6.0,5.3,1006.7,987.5
Clare,SHANNON AIRPORT,2015,1,31,5.7,1.3,0.8,-1.0,6.5,5.7,1010.8,991.8
Galway,MACE HEAD,2015,1,31,6.2,2.2,1.2,-2.1,6.7,5.2,1010.8,992.0
Sligo,MARKREE,2015,1,31,5.2,1.7,0.4,-1.8,6.3,5.4,1008.8,988.5
Donegal,FINNER,2015,1,31,4.8,1.9,1.1,-1.6,6.6,5.4,1008.3,987.8
Mayo,BELMULLET,2015,2,1,5.3,1.1,1.1,-2.9,6.6,4.9,1012.1,1009.1
Mayo,CLAREMORRIS,2015,2,1,4.5,-1.8,1.1,-2.6,6.6,5.0,1012.2,1009.5
Mayo,NEWPORT,2015,2,1,5.7,0.5,2.0,-1.3,7.1,5.5,1012.1,1009.4
Cork,MOORE PARK,2015,2,1,5.4,-2.0,-0.6,-3.3,5.8,4.8,1012.7,1009.7
Wexford,JOHNSTOWNII,2015,2,1,4.7,-0.1,-1.6,-4.1,5.4,4.5,1010.4,1006.3
Galway,ATHENRY,2015,2,1,5.3,-2.0,0.7,-3.0,6.4,4.9,1012.2,1009.5
Cavan,BALLYHAISE,2015,2,1,3.9,-1.3,-1.0,-2.4,5.7,5.1,1009.9,1006.9
Cork,ROCHES POINT,2015,2,1,5.4,1.0,-0.6,-3.8,5.9,4.6,1012.7,1009.3
Westmeath,MULLINGAR,2015,2,1,4.3,-2.1,-0.7,-3.1,5.8,4.9,1010.8,1007.5
Mayo,KNOCK AIRPORT,2015,2,1,2.9,-0.7,0.4,-2.5,6.3,5.1,1012.0,1009.6
Cork,SherkinIsland,2015,2,1,6.6,2.4,1.3,-0.4,6.7,5.9,1013.6,1008.5
Sligo,MARKREE,2015,2,1,4.8,-1.7,-0.6,-2.5,5.9,5.1,1011.2,1009.1
Galway,MACE HEAD,2015,2,1,6.0,1.7,0.3,-1.5,6.2,5.5,1012.2,1008.8
Tipperary,GURTEEN,2015,2,1,4.3,-2.9,0.2,-4.4,6.2,4.4,1011.6,1009.2
Dublin,DUBLIN AIRPORT,2015,2,1,3.9,-1.6,-0.8,-2.7,5.8,5.0,1009.5,1005.3
Donegal,FINNER,2015,2,1,4.4,-0.6,0.9,-1.9,6.5,5.3,1010.5,1008.5
Dublin,CASEMENT,2015,2,1,4.0,-2.5,-1.0,-3.8,5.6,4.6,1009.9,1005.9
Carlow,OAK PARK,2015,2,1,4.3,-2.6,-1.6,-3.7,5.4,4.6,1010.7,1006.9
Dublin,PHOENIX PARK,2015,2,1,4.3,-2.3,-1.8,-3.5,5.3,4.7,1009.7,1005.8
Clare,SHANNON AIRPORT,2015,2,1,6.3,-0.1,0.0,-3.0,6.1,4.9,1012.7,1009.6
Kerry,VALENTIA OBSERVATORY,2015,2,1,6.5,2.6,2.2,-1.8,7.1,5.4,1013.8,1008.3
Donegal,MALIN HEAD,2015,2,1,4.6,1.8,0.6,-2.3,6.4,5.2,1009.5,1006.4
Roscommon,MT DILLON,2015,2,1,9.967762,-1.7,7.2295866,-2.5,10.578773,5.1,1013.2551,1009.4
Meath,DUNSANY,2015,2,1,3.9,-1.9,-1.4,-3.3,5.5,4.8,1009.8,1006.3
Cork,CORK AIRPORT,2015,2,1,5.0,-0.2,-1.0,-3.3,5.7,4.8,1013.0,1009.6
Carlow,OAK PARK,2015,2,2,3.2,-3.5,-0.4,-4.5,5.9,4.4,1010.7,1009.2
Cork,ROCHES POINT,2015,2,2,4.6,2.0,1.2,-3.6,6.6,4.7,1010.6,1008.5
Cork,SherkinIsland,2015,2,2,5.5,2.2,3.6,0.5,7.9,6.4,1010.6,1008.2
Clare,SHANNON AIRPORT,2015,2,2,4.6,-0.6,0.9,-2.3,6.6,5.1,1011.1,1009.1
Roscommon,MT DILLON,2015,2,2,9.967762,-2.7,7.2295866,-3.2,10.578773,4.8,1013.2551,1009.1
Cork,CORK AIRPORT,2015,2,2,3.5,0.5,1.8,-3.0,7.0,4.9,1010.9,1008.7
Galway,ATHENRY,2015,2,2,5.6,-2.3,-0.0,-3.0,6.1,4.9,1010.7,1009.1
Mayo,BELMULLET,2015,2,2,5.3,1.3,2.5,-1.8,7.3,5.4,1010.3,1008.1
Galway,MACE HEAD,2015,2,2,5.4,1.8,2.1,-2.0,7.1,5.3,1010.3,1008.4
Cork,MOORE PARK,2015,2,2,5.0,-2.3,0.9,-3.0,6.5,4.9,1011.0,1008.9
Donegal,MALIN HEAD,2015,2,2,4.0,0.1,1.9,-1.2,7.0,5.6,1009.8,1007.5
Sligo,MARKREE,2015,2,2,4.4,-3.0,-0.0,-3.6,6.1,4.7,1010.6,1009.2
Mayo,CLAREMORRIS,2015,2,2,4.6,-1.5,0.7,-1.9,6.4,5.3,1010.7,1009.1
Dublin,CASEMENT,2015,2,2,4.0,-3.8,-0.1,-4.6,6.1,4.3,1010.4,1009.1
Dublin,PHOENIX PARK,2015,2,2,4.1,-3.0,-0.7,-3.9,5.8,4.6,1010.3,1008.9
Mayo,NEWPORT,2015,2,2,5.4,0.5,2.3,-0.3,7.2,6.0,1010.4,1008.6
Westmeath,MULLINGAR,2015,2,2,4.0,-4.7,0.0,-5.7,6.1,4.0,1010.7,1009.3
Meath,DUNSANY,2015,2,2,3.8,-3.8,0.3,-4.1,6.2,4.5,1010.4,1009.1
Tipperary,GURTEEN,2015,2,2,4.1,-3.0,0.7,-4.4,6.4,4.4,1011.0,1009.3
Cavan,BALLYHAISE,2015,2,2,2.8,-3.2,0.5,-3.8,6.3,4.6,1010.3,1008.8
Kerry,VALENTIA OBSERVATORY,2015,2,2,5.7,3.2,3.4,-0.9,7.8,5.7,1010.7,1008.1
Dublin,DUBLIN AIRPORT,2015,2,2,3.6,-4.2,0.3,-4.2,6.3,4.5,1010.0,1008.8
Mayo,KNOCK AIRPORT,2015,2,2,3.4,0.2,-0.2,-3.3,6.0,4.8,1010.8,1009.4
Wexford,JOHNSTOWNII,2015,2,2,4.3,-0.8,-0.7,-3.9,5.8,4.6,1010.0,1008.6
Donegal,FINNER,2015,2,2,2.8,-0.9,1.5,-2.1,6.8,5.3,1010.4,1008.7
Cavan,BALLYHAISE,2015,2,3,2.3,-3.1,1.5,-3.6,6.8,4.7,1022.4,1007.8
Mayo,CLAREMORRIS,2015,2,3,4.7,-0.7,1.6,-2.4,6.9,5.1,1023.7,1008.2
Kerry,VALENTIA OBSERVATORY,2015,2,3,5.1,2.7,3.3,-1.1,7.7,5.6,1022.7,1008.7
Cork,SherkinIsland,2015,2,3,5.5,2.5,2.2,-0.5,7.2,5.9,1021.6,1008.4
Cork,ROCHES POINT,2015,2,3,5.4,1.0,0.5,-1.4,6.3,5.5,1021.1,1008.3
Donegal,MALIN HEAD,2015,2,3,4.6,1.4,2.1,-3.3,7.1,4.8,1022.9,1006.9
Tipperary,GURTEEN,2015,2,3,2.2,-3.1,1.3,-4.5,6.7,4.4,1022.5,1008.6
Mayo,BELMULLET,2015,2,3,5.8,3.1,2.1,-4.8,7.1,4.3,1024.2,1009.1
Dublin,CASEMENT,2015,2,3,2.6,-7.2,0.3,-7.4,6.2,3.5,1021.3,1008.9
Clare,SHANNON AIRPORT,2015,2,3,4.8,0.2,1.4,-2.2,6.8,5.2,1023.0,1008.7
Roscommon,MT DILLON,2015,2,3,3.4,-2.2,1.7,-2.7,6.9,5.0,1023.0,1008.0
Sligo,MARKREE,2015,2,3,3.4,-1.0,0.7,-2.6,6.4,5.0,1023.4,1007.8
Meath,DUNSANY,2015,2,3,2.0,-6.7,1.3,-7.3,6.7,3.5,1021.7,1008.8
Galway,ATHENRY,2015,2,3,4.6,-2.0,1.5,-3.3,6.8,4.8,1023.3,1008.4
Dublin,PHOENIX PARK,2015,2,3,3.9,-5.5,-0.2,-6.6,6.0,3.7,1021.3,1008.8
Carlow,OAK PARK,2015,2,3,2.8,-5.6,-0.1,-6.5,6.1,3.7,1021.3,1009.0
Galway,MACE HEAD,2015,2,3,4.9,0.9,2.2,-2.5,7.2,5.1,1023.7,1008.8
Wexford,JOHNSTOWNII,2015,2,3,5.2,-1.2,0.2,-2.9,6.2,4.9,1020.2,1008.2
Mayo,KNOCK AIRPORT,2015,2,3,2.7,-0.6,1.1,-2.2,6.6,5.2,1023.9,1008.2
Cork,CORK AIRPORT,2015,2,3,3.8,0.0,1.2,-0.4,6.7,6.0,1021.7,1008.7
Donegal,FINNER,2015,2,3,3.5,0.3,0.9,-2.4,6.5,5.1,1023.3,1006.7
Mayo,NEWPORT,2015,2,3,4.9,0.6,2.4,-3.0,7.3,4.9,1024.1,1008.7
Cork,MOORE PARK,2015,2,3,3.7,-2.2,0.6,-3.2,6.4,4.8,1021.7,1008.7
Westmeath,MULLINGAR,2015,2,3,2.5,-4.7,1.0,-5.5,6.6,4.1,1022.6,1008.5
Dublin,DUBLIN AIRPORT,2015,2,3,3.3,-7.7,0.7,-7.7,6.4,3.4,1021.3,1008.7
Galway,ATHENRY,2015,2,4,5.6,-4.6,0.3,-5.5,6.2,4.1,1032.4,1024.0
Meath,DUNSANY,2015,2,4,5.0,-5.2,-0.7,-6.1,5.8,3.9,1031.1,1022.4
Cavan,BALLYHAISE,2015,2,4,4.8,-4.5,-0.7,-5.4,5.8,4.1,1031.0,1022.9
Mayo,BELMULLET,2015,2,4,8.3,1.1,1.5,-4.3,6.8,4.4,1032.2,1024.5
Carlow,OAK PARK,2015,2,4,4.5,-2.6,-1.0,-4.3,5.7,4.4,1031.4,1022.1
Dublin,PHOENIX PARK,2015,2,4,4.6,-3.6,-1.9,-5.5,5.3,4.1,1031.3,1021.9
Clare,SHANNON AIRPORT,2015,2,4,5.0,-3.2,-1.1,-4.2,5.7,4.5,1032.4,1023.6
Kerry,VALENTIA OBSERVATORY,2015,2,4,5.6,-0.1,-1.0,-5.1,5.7,4.2,1032.6,1023.4
Westmeath,MULLINGAR,2015,2,4,5.1,-2.9,-0.9,-4.4,5.7,4.4,1031.7,1022.8
Sligo,MARKREE,2015,2,4,5.7,-4.1,-0.3,-5.2,6.0,4.2,1031.8,1023.9
Galway,MACE HEAD,2015,2,4,6.2,-0.5,-0.0,-4.0,6.1,4.6,1032.6,1024.3
Mayo,KNOCK AIRPORT,2015,2,4,4.6,-1.0,-0.7,-4.3,5.8,4.4,1032.5,1024.4
Wexford,JOHNSTOWNII,2015,2,4,5.1,-0.8,-1.1,-3.6,5.6,4.7,1030.4,1020.8
Donegal,FINNER,2015,2,4,5.6,-3.2,2.4,-5.0,7.3,4.2,1031.3,1023.8
Cork,ROCHES POINT,2015,2,4,4.5,0.5,-0.3,-3.1,6.0,4.9,1031.5,1021.7
Cork,SherkinIsland,2015,2,4,6.4,1.5,-0.2,-3.5,6.0,4.7,1031.8,1022.0
Roscommon,MT DILLON,2015,2,4,5.4,-3.8,-0.7,-4.9,5.8,4.3,1031.8,1023.2
Mayo,NEWPORT,2015,2,4,7.9,-0.3,2.4,-2.2,7.3,5.2,1032.4,1024.5
Dublin,DUBLIN AIRPORT,2015,2,4,4.6,-3.8,-0.6,-4.4,5.8,4.4,1031.1,1021.9
Cork,CORK AIRPORT,2015,2,4,3.4,-2.3,-0.2,-3.1,6.0,4.9,1032.1,1022.2
Mayo,CLAREMORRIS,2015,2,4,5.5,-3.4,1.0,-4.2,6.6,4.5,1032.3,1024.2
Dublin,CASEMENT,2015,2,4,4.4,-4.4,-1.2,-6.1,5.5,3.8,1031.5,1022.0
Cork,MOORE PARK,2015,2,4,4.3,-2.4,-1.3,-4.2,5.5,4.5,1031.7,1022.2
Donegal,MALIN HEAD,2015,2,4,7.3,3.9,2.6,-2.7,7.4,5.0,1030.2,1023.7
Tipperary,GURTEEN,2015,2,4,4.6,-5.9,-0.5,-7.0,5.9,3.6,1032.0,1023.0
Cork,SherkinIsland,2015,2,5,7.9,2.1,2.9,-1.1,7.5,5.6,1033.5,1031.8
