county,station,year,avg_year_temp,avg_year_dewpt,avg_year_vappr,avg_year_msl
Mayo,CLAREMORRIS,1990,9.647488585314353,7.301347042859179,10.639851603224942,1013.0298173738942
Mayo,BELMULLET,1990,10.483356175665238,7.444121011947048,10.71922374950152,1012.2969057266026
Cork,CORK AIRPORT,1990,10.133447490322943,7.5280251173191965,10.821232881175874,1015.264097957524
Dublin,CASEMENT,1990,9.961518273084982,6.849098179360945,10.319783113726743,1013.8611761850854
Kerry,VALENTIA OBSERVATORY,1990,11.302728320170857,8.362283108280504,11.396438360704135,1014.8692469139621
Cork,ROCHES POINT,1990,11.021678088178442,8.135239739360534,11.233287674705732,1015.2306963010466
Clare,SHANNON AIRPORT,1990,10.977762560053096,7.447990868842765,10.73586758298961,1014.5196805353035
Westmeath,MULLINGAR,1990,9.530376713870085,6.883984021854387,10.351506853947356,1013.504109616911
Donegal,MALIN HEAD,1990,10.101084478332163,6.8280593638882445,10.255650689585568,1011.119143607083
Dublin,DUBLIN AIRPORT,1990,10.467808228570407,6.8106735215909335,10.299840185168671,1013.6543037588738
Dublin,CASEMENT,1991,9.352431513044184,6.585022835894467,10.202431511307417,1015.587762625359
Mayo,BELMULLET,1991,10.194646124945757,7.4816780866110975,10.770764843949443,1014.1899770937009
Mayo,CLAREMORRIS,1991,9.309794523020075,7.166666679301184,10.589041101497058,1014.8836985897256
Cork,CORK AIRPORT,1991,9.6714954360435,7.194828771223999,10.612385844939375,1016.4544862372691
Cork,ROCHES POINT,1991,4.0,1.399999976158142,6.800000190734863,1012.0999755859375
Kerry,VALENTIA OBSERVATORY,1991,10.885639278190084,8.029942928416204,11.193150684931506,1015.9962674633009
Clare,SHANNON AIRPORT,1991,10.569863018487924,7.320319637317704,10.676004574505706,1015.7679221723722
Westmeath,MULLINGAR,1991,9.057374434345764,6.659606392905286,10.306753833598743,1014.7341280863166
Donegal,MALIN HEAD,1991,9.61480593822182,6.747226032225169,10.245445207863638,1013.7029682176842
Dublin,DUBLIN AIRPORT,1991,9.891723752237823,6.224200914635166,9.942888130934815,1015.5819747158381
Cork,CORK AIRPORT,1992,9.576434428984289,7.22282559587493,10.523941260652247,1016.1700589956481
Mayo,BELMULLET,1992,10.156352459789781,7.337033248296133,10.56404827874432,1013.4452525071108
Mayo,CLAREMORRIS,1992,9.136703094610018,7.035484985352573,10.393556472382258,1014.3081511478389
